Unnamed: 0,id,col_boxes,table_boxes,dimensions,img_path,col_mask_path,table_mask_path
0,10.1.1.160.686_7,"[{""xmin"": ""61"", ""ymin"": ""118"", ""xmax"": ""126"", ""ymax"": ""251""}, {""xmin"": ""169"", ""ymin"": ""117"", ""xmax"": ""228"", ""ymax"": ""251""}, {""xmin"": ""270"", ""ymin"": ""116"", ""xmax"": ""323"", ""ymax"": ""246""}, {""xmin"": ""368"", ""ymin"": ""118"", ""xmax"": ""427"", ""ymax"": ""245""}, {""xmin"": ""465"", ""ymin"": ""120"", ""xmax"": ""521"", ""ymax"": ""244""}, {""xmin"": ""564"", ""ymin"": ""117"", ""xmax"": ""627"", ""ymax"": ""248""}, {""xmin"": ""64"", ""ymin"": ""738"", ""xmax"": ""129"", ""ymax"": ""836""}, {""xmin"": ""168"", ""ymin"": ""738"", ""xmax"": ""225"", ""ymax"": ""833""}, {""xmin"": ""267"", ""ymin"": ""740"", ""xmax"": ""323"", ""ymax"": ""838""}, {""xmin"": ""360"", ""ymin"": ""737"", ""xmax"": ""422"", ""ymax"": ""832""}, {""xmin"": ""457"", ""ymin"": ""740"", ""xmax"": ""517"", ""ymax"": ""833""}, {""xmin"": ""559"", ""ymin"": ""740"", ""xmax"": ""628"", ""ymax"": ""833""}]","[{""xmin"": 64, ""ymin"": 247, ""xmax"": 625, ""ymax"": 116}, {""xmin"": 64, ""ymin"": 830, ""xmax"": 626, ""ymax"": 739}]","{""height"": 957, ""width"": 720}",final_dataset/images10.1.1.160.686_7.bmp,final_dataset/col_masks/10.1.1.160.686_7.bmp,final_dataset/table_masks/10.1.1.160.686_7.bmp
1,10.1.1.7.2122_8,"[""""]",[],"{""height"": 1123, ""width"": 793}",final_dataset/images10.1.1.7.2122_8.bmp,final_dataset/col_masks/10.1.1.7.2122_8.bmp,final_dataset/table_masks/10.1.1.7.2122_8.bmp
2,10.1.1.6.2186_8,"[""""]",[],"{""height"": 1123, ""width"": 793}",final_dataset/images10.1.1.6.2186_8.bmp,final_dataset/col_masks/10.1.1.6.2186_8.bmp,final_dataset/table_masks/10.1.1.6.2186_8.bmp
3,10.1.1.7.2112_8,"[""""]",[],"{""height"": 1056, ""width"": 816}",final_dataset/images10.1.1.7.2112_8.bmp,final_dataset/col_masks/10.1.1.7.2112_8.bmp,final_dataset/table_masks/10.1.1.7.2112_8.bmp
4,10.1.1.6.2302_7,"[""""]",[],"{""height"": 1123, ""width"": 794}",final_dataset/images10.1.1.6.2302_7.bmp,final_dataset/col_masks/10.1.1.6.2302_7.bmp,final_dataset/table_masks/10.1.1.6.2302_7.bmp
5,10.1.1.6.2321_16,"[""""]",[],"{""height"": 1123, ""width"": 793}",final_dataset/images10.1.1.6.2321_16.bmp,final_dataset/col_masks/10.1.1.6.2321_16.bmp,final_dataset/table_masks/10.1.1.6.2321_16.bmp
6,10.1.1.180.559_26,"[{""xmin"": ""250"", ""ymin"": ""156"", ""xmax"": ""281"", ""ymax"": ""440""}, {""xmin"": ""293"", ""ymin"": ""156"", ""xmax"": ""337"", ""ymax"": ""444""}, {""xmin"": ""349"", ""ymin"": ""158"", ""xmax"": ""430"", ""ymax"": ""429""}, {""xmin"": ""444"", ""ymin"": ""155"", ""xmax"": ""523"", ""ymax"": ""434""}, {""xmin"": ""237"", ""ymin"": ""632"", ""xmax"": ""271"", ""ymax"": ""835""}, {""xmin"": ""282"", ""ymin"": ""634"", ""xmax"": ""328"", ""ymax"": ""846""}, {""xmin"": ""342"", ""ymin"": ""633"", ""xmax"": ""420"", ""ymax"": ""848""}, {""xmin"": ""431"", ""ymin"": ""636"", ""xmax"": ""516"", ""ymax"": ""847""}]","[{""xmin"": 168, ""ymin"": 478, ""xmax"": 648, ""ymax"": 118}, {""xmin"": 168, ""ymin"": 938, ""xmax"": 648, ""ymax"": 578}]","{""height"": 1056, ""width"": 816}",final_dataset/images10.1.1.180.559_26.bmp,final_dataset/col_masks/10.1.1.180.559_26.bmp,final_dataset/table_masks/10.1.1.180.559_26.bmp
7,10.1.1.160.649_16,"[{""xmin"": ""201"", ""ymin"": ""151"", ""xmax"": ""245"", ""ymax"": ""336""}, {""xmin"": ""261"", ""ymin"": ""170"", ""xmax"": ""294"", ""ymax"": ""336""}, {""xmin"": ""309"", ""ymin"": ""173"", ""xmax"": ""345"", ""ymax"": ""339""}, {""xmin"": ""363"", ""ymin"": ""172"", ""xmax"": ""402"", ""ymax"": ""336""}, {""xmin"": ""420"", ""ymin"": ""169"", ""xmax"": ""456"", ""ymax"": ""338""}, {""xmin"": ""474"", ""ymin"": ""169"", ""xmax"": ""507"", ""ymax"": ""335""}, {""xmin"": ""520"", ""ymin"": ""170"", ""xmax"": ""558"", ""ymax"": ""334""}, {""xmin"": ""569"", ""ymin"": ""174"", ""xmax"": ""607"", ""ymax"": ""334""}]","[{""xmin"": 198, ""ymin"": 340, ""xmax"": 618, ""ymax"": 149}]","{""height"": 1056, ""width"": 816}",final_dataset/images10.1.1.160.649_16.bmp,final_dataset/col_masks/10.1.1.160.649_16.bmp,final_dataset/table_masks/10.1.1.160.649_16.bmp
8,10.1.1.143.8311_29,"[""""]",[],"{""height"": 1056, ""width"": 816}",final_dataset/images10.1.1.143.8311_29.bmp,final_dataset/col_masks/10.1.1.143.8311_29.bmp,final_dataset/table_masks/10.1.1.143.8311_29.bmp
9,10.1.1.1.2076_85,"[{""xmin"": ""218"", ""ymin"": ""95"", ""xmax"": ""311"", ""ymax"": ""188""}, {""xmin"": ""327"", ""ymin"": ""96"", ""xmax"": ""388"", ""ymax"": ""187""}, {""xmin"": ""403"", ""ymin"": ""96"", ""xmax"": ""461"", ""ymax"": ""187""}, {""xmin"": ""477"", ""ymin"": ""95"", ""xmax"": ""524"", ""ymax"": ""188""}, {""xmin"": ""540"", ""ymin"": ""95"", ""xmax"": ""591"", ""ymax"": ""187""}, {""xmin"": ""607"", ""ymin"": ""96"", ""xmax"": ""645"", ""ymax"": ""187""}]","[{""xmin"": 211, ""ymin"": 188, ""xmax"": 653, ""ymax"": 96}]","{""height"": 1056, ""width"": 816}",final_dataset/images10.1.1.1.2076_85.bmp,final_dataset/col_masks/10.1.1.1.2076_85.bmp,final_dataset/table_masks/10.1.1.1.2076_85.bmp
10,10.1.1.6.2306_6,"[""""]",[],"{""height"": 1123, ""width"": 793}",final_dataset/images10.1.1.6.2306_6.bmp,final_dataset/col_masks/10.1.1.6.2306_6.bmp,final_dataset/table_masks/10.1.1.6.2306_6.bmp
11,10.1.1.8.2198_9,"[""""]",[],"{""height"": 1056, ""width"": 816}",final_dataset/images10.1.1.8.2198_9.bmp,final_dataset/col_masks/10.1.1.8.2198_9.bmp,final_dataset/table_masks/10.1.1.8.2198_9.bmp
12,10.1.1.1.2072_3,"[""""]",[],"{""height"": 1008, ""width"": 768}",final_dataset/images10.1.1.1.2072_3.bmp,final_dataset/col_masks/10.1.1.1.2072_3.bmp,final_dataset/table_masks/10.1.1.1.2072_3.bmp
13,10.1.1.1.2032_10,"[{""xmin"": ""219"", ""ymin"": ""254"", ""xmax"": ""260"", ""ymax"": ""402""}, {""xmin"": ""280"", ""ymin"": ""254"", ""xmax"": ""331"", ""ymax"": ""404""}, {""xmin"": ""339"", ""ymin"": ""255"", ""xmax"": ""385"", ""ymax"": ""403""}, {""xmin"": ""391"", ""ymin"": ""254"", ""xmax"": ""436"", ""ymax"": ""405""}, {""xmin"": ""443"", ""ymin"": ""254"", ""xmax"": ""490"", ""ymax"": ""404""}, {""xmin"": ""500"", ""ymin"": ""255"", ""xmax"": ""544"", ""ymax"": ""404""}, {""xmin"": ""551"", ""ymin"": ""254"", ""xmax"": ""597"", ""ymax"": ""402""}, {""xmin"": ""219"", ""ymin"": ""409"", ""xmax"": ""273"", ""ymax"": ""429""}, {""xmin"": ""282"", ""ymin"": ""407"", ""xmax"": ""303"", ""ymax"": ""428""}, {""xmin"": ""339"", ""ymin"": ""408"", ""xmax"": ""364"", ""ymax"": ""429""}, {""xmin"": ""393"", ""ymin"": ""409"", ""xmax"": ""413"", ""ymax"": ""430""}, {""xmin"": ""443"", ""ymin"": ""409"", ""xmax"": ""467"", ""ymax"": ""430""}, {""xmin"": ""498"", ""ymin"": ""408"", ""xmax"": ""523"", ""ymax"": ""428""}, {""xmin"": ""552"", ""ymin"": ""409"", ""xmax"": ""575"", ""ymax"": ""429""}, {""xmin"": ""213"", ""ymin"": ""710"", ""xmax"": ""252"", ""ymax"": ""871""}, {""xmin"": ""264"", ""ymin"": ""719"", ""xmax"": ""309"", ""ymax"": ""871""}, {""xmin"": ""321"", ""ymin"": ""718"", ""xmax"": ""371"", ""ymax"": ""870""}, {""xmin"": ""380"", ""ymin"": ""719"", ""xmax"": ""427"", ""ymax"": ""870""}, {""xmin"": ""439"", ""ymin"": ""721"", ""xmax"": ""489"", ""ymax"": ""869""}, {""xmin"": ""501"", ""ymin"": ""720"", ""xmax"": ""546"", ""ymax"": ""871""}, {""xmin"": ""556"", ""ymin"": ""721"", ""xmax"": ""606"", ""ymax"": ""871""}]","[{""xmin"": 208, ""ymin"": 871, ""xmax"": 612, ""ymax"": 710}, {""xmin"": 218, ""ymin"": 429, ""xmax"": 602, ""ymax"": 255}]","{""height"": 1123, ""width"": 794}",final_dataset/images10.1.1.1.2032_10.bmp,final_dataset/col_masks/10.1.1.1.2032_10.bmp,final_dataset/table_masks/10.1.1.1.2032_10.bmp
14,10.1.1.120.1607_4,"[{""xmin"": ""194"", ""ymin"": ""111"", ""xmax"": ""315"", ""ymax"": ""188""}, {""xmin"": ""330"", ""ymin"": ""112"", ""xmax"": ""368"", ""ymax"": ""187""}, {""xmin"": ""384"", ""ymin"": ""96"", ""xmax"": ""436"", ""ymax"": ""188""}, {""xmin"": ""449"", ""ymin"": ""112"", ""xmax"": ""474"", ""ymax"": ""192""}, {""xmin"": ""543"", ""ymin"": ""111"", ""xmax"": ""571"", ""ymax"": ""193""}, {""xmin"": ""578"", ""ymin"": ""112"", ""xmax"": ""612"", ""ymax"": ""190""}, {""xmin"": ""111"", ""ymin"": ""915"", ""xmax"": ""191"", ""ymax"": ""954""}, {""xmin"": ""201"", ""ymin"": ""916"", ""xmax"": ""212"", ""ymax"": ""956""}, {""xmin"": ""292"", ""ymin"": ""916"", ""xmax"": ""314"", ""ymax"": ""957""}, {""xmin"": ""434"", ""ymin"": ""897"", ""xmax"": ""491"", ""ymax"": ""955""}, {""xmin"": ""500"", ""ymin"": ""896"", ""xmax"": ""543"", ""ymax"": ""954""}, {""xmin"": ""547"", ""ymin"": ""897"", ""xmax"": ""590"", ""ymax"": ""955""}, {""xmin"": ""597"", ""ymin"": ""897"", ""xmax"": ""632"", ""ymax"": ""955""}, {""xmin"": ""642"", ""ymin"": ""897"", ""xmax"": ""670"", ""ymax"": ""956""}, {""xmin"": ""676"", ""ymin"": ""910"", ""xmax"": ""703"", ""ymax"": ""956""}]","[{""xmin"": 94, ""ymin"": 213, ""xmax"": 722, ""ymax"": 58}, {""xmin"": 94, ""ymin"": 980, ""xmax"": 397, ""ymax"": 875}, {""xmin"": 419, ""ymin"": 980, ""xmax"": 722, ""ymax"": 856}]","{""height"": 1056, ""width"": 816}",final_dataset/images10.1.1.120.1607_4.bmp,final_dataset/col_masks/10.1.1.120.1607_4.bmp,final_dataset/table_masks/10.1.1.120.1607_4.bmp
15,10.1.1.160.674_27,"[{""xmin"": ""114"", ""ymin"": ""305"", ""xmax"": ""259"", ""ymax"": ""580""}, {""xmin"": ""294"", ""ymin"": ""305"", ""xmax"": ""699"", ""ymax"": ""579""}]","[{""xmin"": 106, ""ymin"": 576, ""xmax"": 710, ""ymax"": 304}]","{""height"": 1056, ""width"": 816}",final_dataset/images10.1.1.160.674_27.bmp,final_dataset/col_masks/10.1.1.160.674_27.bmp,final_dataset/table_masks/10.1.1.160.674_27.bmp
