,0,1,2,3,4,5,6,7,8
0,Bill To:,Bill To:,,,,,TIOUEDt,,
1,,,,,,INDIA,,,
2,,,,,,"S-027,GROUND FLOOR,EXPRESS Av.MALL","S-027,GROUND FLOOR,EXPRESS Av.MALL",,
3,Fustomer Order N#,Fustomer Order N#,Date,Your Order,,Your Ref.,,,
4,913,4108361,4/6/2021,,,MR. DOSHI,,,
5,Pckg N# Pckg Type,Pckg N# Pckg Type,Pckg Size(Mt),Pckg Size(Mt),Gross Weight (Kg),Net Weight (Kg),Volume (Mc),Tracking Nbr,
6,,1 CRT,0.42 x 0.42 x 0.67,0.42 x 0.42 x 0.67,"6,56","5,32","0,09",,
7,,2 CRT,0.42 x 0.42 x 0.67,0.42 x 0.42 x 0.67,"6,56","5,32","0,09",,
8,,3 CRT,0.08 x 0.08  0.63,0.08 x 0.08  0.63,"1,40","1,00","0,023",,
9,,4 CRT,0.38 x 0.38 x 0.6,0.38 x 0.38 x 0.6,"3,97","3,07","0,062",,
10,,6 CRT,0.38 x 0.38 x 0.6,0.38 x 0.38 x 0.6,"3,97","3,07","0,062",,
11,,6 CRT,0.38 x 0.38 x 0.6,0.38 x 0.38 x 0.6,"3,97","3,07","0,062",,
12,,7 CRT,0.42 x 0.42 x 0.67,0.42 x 0.42 x 0.67,"6,56","5,32","0,09",,
13,,8 CRT,0.42 x 0.42 x 0.67,0.42 x 0.42 x 0.67,"6,56","5,32","0,09",,
14,,9 CRT,0.38 x 0.38 x 0.6,0.38 x 0.38 x 0.6,"3,40","2,50","0,062",,
15,,10 CRT,0.38 x 0.38 x 0.6,0.38 x 0.38 x 0.6,"3,40","2,50","0,062",,
16,,11 CRT,0.38 x 0.38 x 0.6,0.38 x 0.38 x 0.6,"3,40","2,50","0,062",,
17,,12 CRT,0.38 x 0.38 x 0.6,0.38 x 0.38 x 0.6,"3,40","2,50","0,062",,
18,,13 CRT,0.58 x 0.58 x 0.69,0.58 x 0.58 x 0.69,"11,21","6,54","0,188",,
19,,i5 CRT,0.58 x 0.58 x 0.69,0.58 x 0.58 x 0.69,"11,38","6,79","0,188",,
20,,i5 CRT,0.58 x 0.58 x 0.69,0.58 x 0.58 x 0.69,"12,45","6,61","0,188",,
21,,16 CRT,0.58 x 0.58 x 0.69,0.58 x 0.58 x 0.69,"11,55","8,13","0,188",,
22,,L7 CRT,0.53 x 0.53 x 0.7,0.53 x 0.53 x 0.7,"11,55","9,13","0,16",,
23,,18 CRT,0.53 x 0.53 x 0.7,0.53 x 0.53 x 0.7,"11,70","8,56","0,16",,
24,,19 CRT,0.53 x 0.53 x 0.7,0.53 x 0.53 x 0.7,"11,65","8,74","0,16",,
25,,20 CRT,0.42 x 0.42 x 0.6,0.42 x 0.42 x 0.6,"11,05","9,01","0,084",,
26,,21 CRT,0.53 x 0.53 x 0.7,0.53 x 0.53 x 0.7,"11,95","9,06","0,16",,
27,,22 CRT,0.42  0.42  0.6,0.42  0.42  0.6,"6,84","4,90","0,084",,
28,,23 CRT,0.42 x 0.42 x 0.6,"13,62","13,62","12,04",0.084,,
29,,,,"177,10","177,10","131,00","2,461",,
30,Pckg N# Item Nr,Pckg N# Item Nr,Item Description,Item Description,,Barcode,Qty Material,,Customs Cod
31,,BXL58117.412,,X-Travel Trolley 55cm 412-Rock,,8016623623412,1 Polyamide/Leather,CN,4202129
32,,BXL58118.207,,X-Travel Trolley 65cm 207-Mocca,,8016623623436,1 Polyamlde/Leather,CN,4202129
33,,BXL58117.412,,X-Travel Trolley 55cm 412-Rock,,8016623623412,1 Polyamide/Leather,CN,4202129
34,2,BXL58118.207,,X-Travel Trotley 65cm 207-Mocca,,8016623623436,1 Polyamide/Leather,CN,4202129
35,3,BLF20203.412,Life Holdall 412-Rock,Life Holdall 412-Rock,,8016623144856,1 PVC / Leather,IT,4202121
36,4,BLF58117.412,,Life Trolley 55cm 412-Rock,,8016623154350,1 PVC /Leather,CN,4202121
37,5,BLF58117.412,,Life Trolley 55cm 412-Rock,,8016623154350,1 PVC / Leather,CN,4202121
38,6,BLF58117.412,Life Trolley 55cm 412-Rock,Life Trolley 55cm 412-Rock,,8016623154350,1 PVC/Leather,CN,4202121
39,,BXI58117.412,X-Travel Trolley 55cm 412-Rock,X-Travel Trolley 55cm 412-Rock,,8016623623412,1 Polyamide/Leather,CN,4202129
40,7,BXL58118.412,,X-Travel Trolley 65cm 412-Rock,,8016623623450,1 Polyamide/Leather,CN,4202129
41,8,BXL58117.412,,X-Travel Trolley 55cm 412-Rock,,8016623623412,1 Polyamide/Leather,CN,4202129s
42,8,BXL58118.412,,X-Travel Trotley 65cm 412-Rock,,8016623623450,1 Polyamide/Leather,CN,42021299
43,9,BXt.58117.207,,X-Travel Trolley 55cm 207-Mocca,,8016623623405,1 Polyamide/Leather,CN,42021299
44,10,BXL58117.207,,X-Travel Trolley 55cm 207-Mocca,,8016623623405,1 Polyamide/Leather,CN,42021299
45,11,BXLS8117.207,,X-Travel Trolley 55cm 207-Mocca,,8016623623405,1 Polyamide/Leather,CN,42021299
46,13,8XL58117.207,,Ponza Shouiderbag S MARTA 020-Bordeaux,,8016623623405,2 PVC/PU/PL,CN,42021299
47,13,BOZ05801.020,,Ponza Shopping LUDOVICA 020-Bordeaux,,8016623882789,2 PVC/PU/PL,IT,42022210
48,13,BOZ05803.020,,Ponza Shopping LUDOVICA 020-Bordeaux,,8016623882789,2 PVC/PU/PL,IT,4202221q
49,13,BOZ05806.020,, Ponza Bag CAMILLA 020-Bordeaux,,8016623820279,1 PVC/PU/PL,IT,42022210
50,13,BOZ05809.020,,Ponza Shopping VIT TORIA 020-Bordeaux,,8016623710419,3 PVC/PU/PL,IT,42022210
51,13,BPL05800.098,, Life Pelle Half-moon Bag LUNA 098 Leather,,8016623598857,1 Leather,IT,4202210090
52,13,BPL05806.098, Life Pelle Bag CAMILLA 098 Leather, Life Pelle Bag CAMILLA 098 Leather,,8016623609409,1 Leather,IT,4202210099
53,13,BPL05809.098,,Life Pelle Shopping VIT TORIA 098 Leather,,8016623607344,1 Leather,IT,4202210090
54,14,BLF05809.412,,Life Shopping VITTORIA 412-Rock,,8016623683270,3 PVC / Leather,IT,42022210
55,14,BOZ05800.020,,Ponza Mezzaluna LUNA 020-Bordeaux 35x21x11,,8016623881379,2 PVC/PU/PL,IT,4202221q
56,14,BOZ05802.020,, Ponza Shou!derbag S MARTINA 020-Bordeaux,,8016623714820,3 PVC/PU/PL,IT,42022219
57,14,BOZ05806.020,, Ponza Bag CAMILLA 020-BordeauX,,8016623820279,1 PVC/PU/PL,IT,42022210
58,,BOZ0S809.001,, Ponza Shopping VITTORIA 001 Black,,8016623710389,2 PVC/PU/PL,IT,4202221q
