,0,1,2,3,4,5,6
0,16,BOZ05800.006, Ponza Mezza|una LUNA 006-Blu 35x21x11,8016623881362,1 PVC/PU/PL,IT,42022210
1,16,BOZ05802.006,Ponza Shoulderbag S MARTINA 006 Blue,8016623710563,3 PVC/PU/PL,IT,42022210
2,16,BOZ05803.001,Ponza Shopping LUDOVICA 001 Black,8016623881690,1 PVC/PU/PL,IT,42022210
3,16,BOZ05803.025,Ponza Shopping LUDOVICA 025-Beige,8016623882796,1 PVC/PU/PL,IT,42022210
4,16,BOZ05805.001,Ponza Shoulderbag EMMA 001 Black,8016623725574,3 PVC/PU/PL,IT,42022210
5,16,BOZ05805.006,Ponza Shoulderbag EMMA 006 Blue,8016623725581,3 PVC/PU/PL,IT,42022210
6,16,BOZ0S805.020,Ponza Shoulderbag EMMA 020-Bordeaux,8016623725598,3 PVC/PU/PL,IT,42022210
7,16,BPL05802.098, Life Pelle Shoul.bag S MARTINA 098 Leather,8016623605920,1 Leather,IT,4202210090
8,17,BXG45051.207,X-Bag Shoulderbag 207-Mocca,8016623609515, 2 Polyamide/Leather,CN,42022290
9,17,BXG45057.207,X-Bag Shoulderbag 207-Mocca,8016623616216, 6 Polyamide/Leather,CN,42022290
10,17,BXG45070.207,X-Bag Shopping 207-Mocca,8016623123684, 2 Polyamide/Leather,CN,42022290
11,17,BXG45070.412,X-Bag Shopping 412-Rock,8016623616230, 2 Polyamide/Leather,CN,42022290
12,17,BXG45071.207,X-Bag Medium Sportina 207-Mocca,8016623115412,2 Polyamide/Leather,CN,42022290
13,17,BXG45072.412,X-Bag Small Sportina 412-Rock,8016623616254, 3 Polyamide/Leather,CN,42022290
14,17,BXl.43754.207,X-Travel City Backpack Piccolo 207-Mocca,8016623115467, 5 Polyamide/Leather,CN,42022290
15,18,BXG40606.207,X-Bag Urban Travel Kit 207-Mocca,8016623123608, 3 Polyamide/Leather,CN,42022290
16,18,BXG40606.412,X-Bag Urban Travel Kit 412-Rock,8016623609508, 3 Polyamide/Leather,CN,42022290
17,18,BXG45052.207,X-Bag Shoulderbag 207-Mocca,8016623609539, 5 Polyamide/Leather,CN,42022290
18,,BXG45052.412,X-Bag Shoulderbag 412-Rock,8016623616186, 5 Polyamide/Leather,CN,42022290
19,18,BXG45056.207,X-Bag Shou!derbag 207-Mocca,8016623616193,6 Polyamide/Leather,CN,42022290
20,,BXG45056.412,X-Bag Shoulderbag 412-Rock,8016623616209,6 Polyamide/Leather,CN,42022290
21,18,BXG45072.207,X-Bag Small Sportina 207-Mocca,8016623115429, 3 Poiyamide/Leather,CN,42022290
22,19,BXG45057.412,X-Bag Shoulderbag 412-Rock,8016623616223,6 Poiyamide/Leather,CN,42022290
23,19,BXG45282.207,X-Bag Handbag 207-Mocca,8016623123752,4 Polyamide/Leather,CN,42022290
24,19,BXL43754.412,X-Travel City Backpack Piccoto 412-Rock,8016623623122,5 Polyamide/Leather,CN,42022290
25,19,8XL45059.412,X-Travel Backpack 412-Rock,8016623623283,6 Polyamide/Leather,CN,42022290
26,20,BXG45071.207,X-Bag Medium Sportina 207-Mocca,8016623115412,1 Polyamide/Leather,CN,42022290
27,29,BXL40202.207,X-Travel Ho!dall 207-Mocca,8016623123776,2 Polyamide/Leather,CN,42029291
28,2(,6X1.42192.207,X-Travel Ho!dall 207-Mocca,8016623123820,4 Polyamide/Leather,CN, 42029291
29,20,BXI.42192.412,X-Travel Ho!dall 412-Rock,8016623620749, 4 Polyamide/Leather,CN, 42029291
30,20,BXi.45059.207,X-8ag Shoulderbag 412-Rock,8016623623269, 2 Polyamide/Leather,CN,42022290
31,21,BXG45051.412,X-Bag Shoulderbag 412-Rock,8016623609522, 2 Polyamide/Leather,CN,42022290
32,21,BXG45055.412,X-Bag Shoulderbag 412-Rock,8016623624259,8 Polyamide/Leather,CN,42022290
33,21,BXG45071.412,X-Bag Medium Sportina 412-Rock,8016623616247, 3 Polyamide/Leather,CN,42022290
34,21,BXG45282.412,X-Bag Handbag 412-Rock,8016623616261, 4 Polyamide/Leather,CN, 42022290
35,21,BXL45059.207,X-Travel Backpack 207-Mocca,8016623623269, 4 Polyamide/Leather,CN,42022290
36,22,BXL40202.412,X-8ag Shoulderbag 207-Mocca,8016623624242,8 Polyamide/Leather,CN,42022290
37,22,BXL40202.412,X-Travel Holdatl 412-Rock,8016623616278, 2 Polyamide/Leather,CN,42029291
38,23,BXG40202.207,X-Bag Holdall 207-Mocca,8016623123561, 4 Polyamide/Leather,CN,42029291
39,23,BXG40202.412,X-Bag Holdall 412-Rock,8016623609485, 4 Polyamide/Leather,CN,42029291
40,23,BXG40203.207,X-Bag Hotdatl 207-Mocca,8016623115375, 6 Polyamide/Leather,CN,42029291
41,23,BXG40203.412,X-Bag Holdall 412-Rock,8016623609492, 6 Polyamide/Leather,CN,42029291
42,,,,Total:,205,,
