,0,1,2,3,4,5,6,7
0,,KA,,,KA,,KA,
1,,Xiamen Changsu Industrial Corporation Limited,,,Xiamen Changsu Industrial Corporation Limited,,Xiamen Changsu Industrial Corporation Limited,
2,,"ADD:No. 268 Wengjiao Road. Xinyang Industrial Zone, Haicang Xiamen. 361026 China",,,,,"ADD:No. 268 Wengjiao Road. Xinyang Industrial Zone, Haicang Xiamen. 361026 China",
3,,Tel:+86-592-6800888 Fax:86-592-6806585 http/www.chang-su.com.cn,,,Tel:+86-592-6800888 Fax:86-592-6806585 http/www.chang-su.com.cn,,Tel:+86-592-6800888 Fax:86-592-6806585 http/www.chang-su.com.cn,
4,,,,PACKING LIST,PACKING LIST,,,
5,,Messrs:Mag Data-S.p.A,,,Invoice No.: CS210746,,Invoice No.: CS210746,
6,,43052 Colorno (Italy),,,"Date: September 14, 2021",,"Date: September 14, 2021",
7,,43052 Colorno (Italy),,,Payment: TT,Payment: TT,,
8,,Tel. 0039-0521-525320,,,"Incoterms: CIF La Spezia, Italy",,"Incoterms: CIF La Spezia, Italy",
9,,Fax. 0039-0521-525329,,,PO No.:1266,PO No.:1266,,
10,,"FROM:XIAMEN,CHINA","FROM:XIAMEN,CHINA","FROM:XIAMEN,CHINA","TO:LA SPEZIA,ITALY",,"TO:LA SPEZIA,ITALY",
11,,Type of,,Specification,,Qt'y, Net Weight,Gross Weight
12,Item, Material,,,L(m),, Net Weight,
13,, Material,T(m)[W(mm),T(m)[W(mm),L(m),Roll,kg,kg
14,1,,20,860,15000,4,1195.70,1315.27
15,2,,20,900,15000,2,624.80,687.28
16,3,,20,1240,15000,2,850.80,935.88
17,4,,15,630,24000,4,1048.30,1153.13
18,5,,15,650,24000,2,533.80,587.18
19,6,OA1,15,660,24000,6,1618.80,1780.68
20,7,treated),15,680,24000,4,1115.10,1226.61
21,8,,15,690,24000,2,563.20,619.52
22,9,,15,1000,24000,6,2463.70,2710.07
23,10,BOPAFILM,15,1120,24000,6,2769.30,3046.23
24,11,,15,1160,24000,2,952.60,1047.86
25,12,,15,1280,24000,2,1051.20,1156.32
26,13,,15,830,24000,4,1366.30,1502.93
27,14,,15,945,24000,2,776.20,853.82
28,15,OA2,15,1040,24000,2,859.20,945.12
29,16,sides,15,1060,24000,2,870.60,957.66
30,17,treated),15,1160,24000,2,952.60,1047.86
31,18,,15,675,24000,2,558.00,613.80
32,19,,15,695,24000,4,1141.60,1255.76
33,,Sub-total (CMAU9079588/C1856699),,,,60,21311.80,23442.98
34,1,,15,710,24000,2,585.70,644.27
35,2,,15,720,24000,4,1192.30,1311.53
36,3,,15,760,24000,4,1256.00,1381.60
37,,,15,780,24000,4,1281.20,1409.32
38,5,,15,830,24000,2,681.60,749.76
39,6,(Outside,15,860,24000,5,1776.80,1954.48
40,7,treated),15,870,24000,5,1788.50,1967.35
41,8,BOPA FILM,15,960,24000,,1576.80,1734.48
42,9,,15,980,24000,4,1607.20,1767.92
43,10,,15,1050,24000,4,1736.90,1910.59
44,11,,15,1060,24000,4,1747.10,1921.81
45,12,,15,1100,24000,8,3633.50,3996.85
46,13,Both,15,850,24000,4,1397.90,1537.69
47,14,treated),15,880,24000,2,727.40,800.14
48,,Sub-total (CMAU8246588/C0822401),,,,56,20988.90,23087.79
