level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text,label
1,1,0,0,0,0,0,0,1654,2336,-1,,others
2,1,1,0,0,0,728,147,204,25,-1,,others
3,1,1,1,0,0,728,147,204,25,-1,,others
4,1,1,1,1,0,728,147,204,25,-1,,others
5,1,1,1,1,1,728,147,133,24,96,PACKING,others
5,1,1,1,1,2,875,148,57,24,95,LIST,others
2,1,2,0,0,0,48,191,1314,58,-1,,others
3,1,2,1,0,0,48,191,1314,58,-1,,others
4,1,2,1,1,0,48,191,1314,25,-1,,others
5,1,2,1,1,1,48,191,299,25,91,Consignor\Manufacturer,others
5,1,2,1,1,2,666,193,64,14,96,Invoice,others
5,1,2,1,1,3,736,193,24,14,93,No,others
5,1,2,1,1,4,767,197,3,10,20,;,others
5,1,2,1,1,5,780,193,158,15,89,SML/EX/439/21-22,others
5,1,2,1,1,6,1200,198,50,14,92,Date:,others
5,1,2,1,1,7,1272,198,90,14,90,30-10-2021,others
4,1,2,1,2,0,49,225,1313,24,-1,,others
5,1,2,1,2,1,49,225,63,22,91,SML,others
5,1,2,1,2,2,124,225,90,23,96,FILMS,others
5,1,2,1,2,3,227,225,120,23,96,LIMITED,others
5,1,2,1,2,4,666,232,90,17,81,Exporter’s,others
5,1,2,1,2,5,764,232,40,14,64,Ref:,others
5,1,2,1,2,6,812,232,108,15,85,PROFORMA,others
5,1,2,1,2,7,927,233,76,14,85,INVOICE,others
5,1,2,1,2,8,1010,233,27,14,72,NO,others
5,1,2,1,2,9,1075,233,175,15,43,—_£00219-1-2122Date:,others
5,1,2,1,2,10,1271,235,91,14,85,01-10-2021,others
2,1,3,0,0,0,51,260,1403,81,-1,,others
3,1,3,1,0,0,51,260,1403,81,-1,,others
4,1,3,1,1,0,51,260,1316,24,-1,,others
5,1,3,1,1,1,51,260,60,17,95,PLOT,others
5,1,3,1,1,2,119,260,32,18,90,NO:,others
5,1,3,1,1,3,154,260,77,18,90,A/17-1,others
5,1,3,1,1,4,242,260,119,21,92,",BHATPORE",others
5,1,3,1,1,5,363,261,84,20,96,"GIDC,",others
5,1,3,1,1,6,666,262,52,18,96,Buyer,others
5,1,3,1,1,7,724,262,51,14,96,Order,others
5,1,3,1,1,8,782,262,23,14,92,No,others
5,1,3,1,1,9,812,262,12,14,92,&,others
5,1,3,1,1,10,831,263,39,13,96,Date,others
5,1,3,1,1,11,917,266,35,13,92,1434,others
5,1,3,1,1,12,1200,265,50,14,93,Date:,others
