level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text,label
1,1,0,0,0,0,0,0,1653,2339,-1,,others
2,1,1,0,0,0,376,81,889,13,-1,,others
3,1,1,1,0,0,376,81,889,13,-1,,others
4,1,1,1,1,0,376,81,889,13,-1,,others
5,1,1,1,1,1,376,81,39,13,81,SEDE,others
5,1,1,1,1,2,663,81,56,13,92,FILIALE,others
5,1,1,1,1,3,726,81,16,13,96,DI,others
5,1,1,1,1,4,748,81,71,13,96,RAVENNA,others
5,1,1,1,1,5,888,81,56,13,93,FILIALE,others
5,1,1,1,1,6,951,81,16,13,96,DI,others
5,1,1,1,1,7,972,81,62,13,51,TORINO,others
5,1,1,1,1,8,1107,81,39,13,90,SEDE,others
5,1,1,1,1,9,1152,81,58,13,90,ESTERA,others
5,1,1,1,1,10,1216,81,49,13,92,KOPER,others
2,1,2,0,0,0,136,107,145,170,-1,,others
3,1,2,1,0,0,136,107,145,170,-1,,others
4,1,2,1,1,0,136,107,145,170,-1,,others
5,1,2,1,1,1,136,107,145,170,95, ,others
2,1,3,0,0,0,75,100,1513,215,-1,,others
3,1,3,1,0,0,376,100,829,17,-1,,others
4,1,3,1,1,0,376,100,829,17,-1,,others
5,1,3,1,1,1,376,102,22,12,96,Via,others
5,1,3,1,1,2,405,101,38,13,93,Fabio,others
5,1,3,1,1,3,449,101,31,16,91,"Filzi,",others
5,1,3,1,1,4,487,102,83,12,73,31-57122,others
5,1,3,1,1,5,576,102,53,12,75,Livorno,others
5,1,3,1,1,6,662,101,22,12,34,Via,others
5,1,3,1,1,7,690,101,11,12,81,G.,others
5,1,3,1,1,8,702,101,51,15,87,"Rossi,",others
5,1,3,1,1,9,760,101,18,12,96,70,others
5,1,3,1,1,10,887,101,22,12,96,Via,others
5,1,3,1,1,11,915,100,68,13,96,Valentino,others
5,1,3,1,1,12,989,101,58,15,94,"Carrera,",others
5,1,3,1,1,13,1054,101,26,12,35,157,others
5,1,3,1,1,14,1106,101,85,13,62,Ankaranska,others
5,1,3,1,1,15,1198,102,7,12,96,5,others
3,1,3,2,0,0,376,121,997,24,-1,,others
4,1,3,2,1,0,376,121,997,24,-1,,others
5,1,3,2,1,1,376,121,24,13,90,Tel.,others
5,1,3,2,1,2,407,121,36,13,91,586,others
5,1,3,2,1,3,449,121,177,13,78,896486-211862-211900,others
5,1,3,2,1,4,662,121,45,13,58,48100,others
5,1,3,2,1,5,714,121,62,13,85,Ravenna,others
5,1,3,2,1,6,889,121,44,13,94,10146,others
5,1,3,2,1,7,938,121,45,13,95,Torino,others
5,1,3,2,1,8,1107,121,57,13,68,SI-6000,others
5,1,3,2,1,9,1171,121,50,13,92,KOPER,others
5,1,3,2,1,10,1231,121,142,24,0,(SLOVENUIA),others
3,1,3,3,0,0,376,140,1013,18,-1,,others
4,1,3,3,1,0,376,140,1013,18,-1,,others
5,1,3,3,1,1,376,141,51,14,96,Telefax,others
5,1,3,3,1,2,434,142,35,13,96,586,others
5,1,3,3,1,3,475,142,55,13,87,886517,others
5,1,3,3,1,4,661,140,26,14,89,Tel.,others
5,1,3,3,1,5,693,140,89,16,8,0544/3547,others
5,1,3,3,1,6,787,141,69,13,43,212316,others
5,1,3,3,1,7,887,140,25,14,58,Tel.,others
5,1,3,3,1,8,919,140,97,16,85,011/4275865,others
5,1,3,3,1,9,1106,141,25,14,83,Tel.,others
5,1,3,3,1,10,1138,142,39,13,95,386,others
5,1,3,3,1,11,1183,142,8,13,89,5,others
5,1,3,3,1,12,1197,141,88,16,79,6638950/51,others
5,1,3,3,1,13,1359,141,30,17,10,es,others
3,1,3,4,0,0,376,150,1212,122,-1,,others
4,1,3,4,1,0,376,150,1021,58,-1,,others
5,1,3,4,1,1,376,162,50,13,86,e-mail:,others
5,1,3,4,1,2,434,162,161,17,90,base@basespa.com,others
5,1,3,4,1,3,661,161,57,13,91,Telefax:,others
5,1,3,4,1,4,725,161,98,16,83,0544/216465,others
5,1,3,4,1,5,888,161,35,13,96,Mob.,others
5,1,3,4,1,6,929,162,27,12,96,349,others
5,1,3,4,1,7,962,162,63,12,96,9806103,others
5,1,3,4,1,8,1107,163,24,12,96,Fax,others
5,1,3,4,1,9,1138,163,38,12,96,386,others
